county,pop
51001,34234
51003,24463
51005,4283
51007,3189
51009,27392
51011,13703
51013,70441
51015,37289
51017,8523
51019,19552
51021,2132
51023,13244
51025,7797
51027,19200
51031,36741
51033,3917
48345,1024
51035,17421
51037,8311
51041,154581
51043,9557
51045,5389
51047,17960
51049,9887
51051,12783
51053,12718
6069,8097
51057,3138
51059,842607
51061,25891
51063,8677
51065,22820
51067,48141
51069,31187
51071,19244
51073,30979
51075,6694
51077,6078
51079,7418
51081,4410
51083,12272
51085,49959
51087,177392
51089,20665
51091,1911
51093,5860
18073,8950
51097,11292
51099,880
51101,19741
51103,12179
51105,21173
51107,301242
51109,46220
51111,11916
51113,16166
51115,12338
51117,37412
51119,12915
51121,46328
51125,20367
51127,59724
51131,12132
51133,10905
51135,20466
51137,44243
51139,10922
51141,32507
51143,63300
51145,59661
51147,28134
29005,5967
51153,370190
51155,24828
51157,9001
51159,2747
51161,56350
21071,37276
51163,20877
51165,66751
51167,22969
51169,23481
51171,58014
39075,26776
51175,14502
51177,99406
51179,131014
51181,6073
51183,24896
51185,48360
51187,69058
51191,57202
51193,44088
51195,36969
51197,38133
51199,46119
6071,2057783
5033,46347
29023,14788
6073,2765935
29035,35359
6075,644740
35001,608013
48159,2068
35005,59481
35006,8889
35007,12876
35009,44020
35011,1812
35013,187720
35015,50553
35017,28438
29047,123295
35021,610
35023,4551
35025,57025
35027,17736
35029,23431
35031,60135
35033,3436
35035,55136
35037,8169
35039,25089
35041,18567
35043,132189
35045,109807
35047,24687
35049,139543
35051,10695
35053,15166
35055,25237
35057,11185
46115,8211
35061,65818
18133,39850
8035,230384
55003,7035
6079,242702
51510,170791
51515,18480
49007,11420
51520,22404
51530,6351
51540,73337
51550,181934
5035,47119
51560,1913
51570,27759
27001,4721
27003,204408
51580,10518
27005,9002
27007,11225
27009,16790
27011,6270
27013,10915
51590,63109
27015,4246
27017,9905
51595,8527
27021,12303
27023,2525
51600,97120
27025,31000
27027,17131
27029,8150
27031,5518
27033,5009
51610,75412
27035,76483
27037,279211
6083,367322
27039,4619
27041,6556
27043,3600
51620,15105
27045,12477
27047,23266
27049,48396
27051,5958
27053,1066666
51630,80698
27055,18306
27057,32058
27059,56009
27061,47100
27063,12305
51640,11186
27067,35998
27069,3991
27071,14806
27073,5628
51650,69926
27075,1829
27077,4178
27079,2355
27081,2055
27083,6229
51660,43092
27085,23241
27087,5038
27089,7306
27091,29904
27093,19179
51670,21761
